run,dataset,setting,method,backbone,final_acc,avg_inc_acc,forgetting,bwt,wall_s,train_s,predict_s,peak_rss_mb,proj_density
level1_baseline_ncm_cifar10_clip_ncm_clip_vit_b_16_seed2,cifar10,task-aware,ncm,clip_vit_b_16,98.70999908447266,98.51449737548828,0.0,0.0,0.2303607999929227,0.1043579000106547,0.07265369998640381,702.796875,1.0
level1_baseline_ncm_clip_ncm_clip_vit_b_16_seed2,cifar100,task-aware,ncm,clip_vit_b_16,90.65000915527344,90.91290512084962,0.0,0.0,0.30767169999307953,0.09854240002459846,0.12189870004658587,2840.29296875,1.0
level1_baseline_ncm_resnet18_seed2,cifar100,task-aware,ncm,resnet18,82.84000396728516,83.16271667480468,0.0,0.0,0.30641769999056123,0.09971750000840984,0.12503800020203926,688.0625,1.0
level1_baseline_ncm_tinyimagenet_clip_ncm_clip_vit_b_16_seed2,tinyimagenet,task-aware,ncm,clip_vit_b_16,86.08000183105469,86.84983367919922,0.0,0.0,0.42630419999477454,0.18789789997390471,0.1300532998284325,2989.2578125,1.0
level1_saber_ablation_saber_feature_prompt_resnet18_seed2,cifar100,task-aware,saber_feature_prompt,resnet18,89.62999725341797,90.42167587280274,0.0,0.0,46.03357839997625,45.81811190000735,0.12476979987695813,1652.33203125,1.0
level1_saber_no_backward_cifar10_clip_saber_feature_prompt_clip_vit_b_16_seed2,cifar10,task-aware,saber_feature_prompt,clip_vit_b_16,98.5199966430664,97.31566467285157,0.0,0.0,40.67038970001158,40.55533130001277,0.057491199986543506,1675.37890625,1.0
level1_saber_no_backward_clip_saber_feature_prompt_clip_vit_b_16_seed2,cifar100,task-aware,saber_feature_prompt,clip_vit_b_16,93.37000274658203,93.60561599731446,0.0,0.0,45.078401800012216,44.85550329994294,0.13198600002215244,1667.45703125,1.0
level1_saber_no_backward_tinyimagenet_clip_saber_feature_prompt_clip_vit_b_16_seed2,tinyimagenet,task-aware,saber_feature_prompt,clip_vit_b_16,88.86000061035156,88.6463249206543,0.0,0.0,83.25038949999725,83.05065439987811,0.10061309998854995,1775.32421875,1.0
level1_saber_reproduction_cifar10_clip_saber_feature_prompt_clip_vit_b_16_seed2,cifar10,task-aware,saber_feature_prompt,clip_vit_b_16,98.5,97.29999694824218,0.024999618530273438,-0.024999618530273438,41.600283599982504,41.48716739995871,0.05815300004906021,1708.9609375,1.0
level1_saber_reproduction_cifar10_saber_feature_prompt_resnet18_seed2,cifar10,task-aware,saber_feature_prompt,resnet18,97.61000061035156,97.42033233642579,0.0,0.0,36.84439990000101,36.73185299997567,0.05281080005806871,4736.66015625,1.0
level1_saber_reproduction_clip_saber_feature_prompt_clip_vit_b_16_seed2,cifar100,task-aware,saber_feature_prompt,clip_vit_b_16,43.06999969482422,64.43864669799805,55.96666717529297,-55.88888931274414,43.195650700014085,42.99181130004581,0.1140785998723004,1737.015625,1.0
level1_saber_reproduction_saber_feature_prompt_resnet18_seed2,cifar100,task-aware,saber_feature_prompt,resnet18,89.62999725341797,90.42870025634765,0.02222188375890255,0.0,37.776032800000394,37.599801300035324,0.10120239990646951,1688.88671875,1.0
level1_saber_reproduction_tinyimagenet_clip_saber_feature_prompt_clip_vit_b_16_seed2,tinyimagenet,task-aware,saber_feature_prompt,clip_vit_b_16,31.07000160217285,53.503092193603514,64.21111297607422,-64.21111297607422,82.76366840000264,82.55895050000981,0.10018740009400062,1826.02734375,1.0
level1_saber_reproduction_tinyimagenet_saber_feature_prompt_resnet18_seed2,tinyimagenet,task-aware,saber_feature_prompt,resnet18,83.87999725341797,84.33301391601563,0.0444437675178051,-0.03333282470703125,73.66599350000615,73.4718397000106,0.09691350016510114,4520.9765625,1.0
level2_flycl_ablation_flycl_sparse_resnet18_seed2,cifar100,task-agnostic,flycl_sparse,resnet18,51.93999481201172,62.60315361022949,12.677777290344238,-12.677777290344238,4.423661299981177,2.3907823999761604,1.9034573000099044,692.88671875,0.0029230117797851562
level2_flycl_adaptive_cifar10_clip_flycl_adaptive_clip_vit_b_16_seed2,cifar10,task-agnostic,flycl_adaptive,clip_vit_b_16,92.58000183105469,94.9010009765625,4.462499618530273,-4.462499618530273,14.353721499996027,9.19096200002241,5.046515299996827,703.109375,0.0014634132385253906
level2_flycl_adaptive_clip_flycl_adaptive_clip_vit_b_16_seed2,cifar100,task-agnostic,flycl_adaptive,clip_vit_b_16,72.11000061035156,79.33173217773438,8.911112785339355,-8.911112785339355,18.239487499988172,8.878341299947351,9.201199000119232,708.95703125,0.0014634132385253906
level2_flycl_adaptive_tinyimagenet_clip_flycl_adaptive_clip_vit_b_16_seed2,tinyimagenet,task-agnostic,flycl_adaptive,clip_vit_b_16,68.88999938964844,77.21766891479493,9.399999618530273,-9.399999618530273,29.467698799999198,18.602998100046534,10.633529399841791,814.53515625,0.0014634132385253906
level2_flycl_engineering_cifar10_clip_flycl_sparse_clip_vit_b_16_seed2,cifar10,task-agnostic,flycl_sparse,clip_vit_b_16,91.22999572753906,93.30266723632812,6.512502670288086,-6.512502670288086,4.106859099993017,2.7308093999745324,1.2704805999528617,702.94921875,0.0014634132385253906
level2_flycl_engineering_cifar10_flycl_sparse_resnet18_seed2,cifar10,task-agnostic,flycl_sparse,resnet18,74.9800033569336,81.89683380126954,15.812499046325684,-15.812499046325684,3.823132400022587,2.5961546000035014,1.1399733998987358,687.94140625,0.0029230117797851562
level2_flycl_engineering_clip_flycl_sparse_clip_vit_b_16_seed2,cifar100,task-agnostic,flycl_sparse,clip_vit_b_16,72.70999908447266,80.29740829467774,9.911112785339355,-9.911112785339355,6.000948400003836,3.0849605000112206,2.7341307000024244,707.7265625,0.0014634132385253906
level2_flycl_engineering_flycl_sparse_resnet18_seed2,cifar100,task-agnostic,flycl_sparse,resnet18,53.590003967285156,63.90187759399414,13.122220993041992,-13.122220993041992,5.348748799995519,2.8557320999971125,2.365168499847641,691.78125,0.0029230117797851562
level2_flycl_engineering_tinyimagenet_clip_flycl_sparse_clip_vit_b_16_seed2,tinyimagenet,task-agnostic,flycl_sparse,clip_vit_b_16,69.61000061035156,77.76355438232422,9.422222137451172,-9.422222137451172,8.425573399988934,5.0503271999477874,3.164878400042653,807.45703125,0.0014634132385253906
level2_flycl_engineering_tinyimagenet_flycl_sparse_resnet18_seed2,tinyimagenet,task-agnostic,flycl_sparse,resnet18,54.70000076293945,64.1690559387207,10.166666984558105,-10.166666984558105,8.108560599997872,5.193245700007537,2.7458519999636337,792.0234375,0.0029230117797851562
level2_ncm_baseline_cifar10_clip_ncm_clip_vit_b_16_seed2,cifar10,task-agnostic,ncm,clip_vit_b_16,92.16999816894531,94.34066314697266,4.737497329711914,-4.737497329711914,0.24722420002217405,0.10709069998119958,0.07783239998389035,702.6953125,1.0
level2_ncm_baseline_clip_ncm_clip_vit_b_16_seed2,cifar100,task-agnostic,ncm,clip_vit_b_16,70.02000427246094,77.46812896728515,9.555556297302246,-9.555556297302246,0.396770799998194,0.10973990001366474,0.1904930000018794,704.38671875,1.0
level2_ncm_baseline_tinyimagenet_clip_ncm_clip_vit_b_16_seed2,tinyimagenet,task-agnostic,ncm,clip_vit_b_16,65.85000610351562,74.06665954589843,9.09999942779541,-9.09999942779541,0.5696132000011858,0.1947560000116937,0.25837180006783456,804.703125,1.0
